,X_i,Y_i,Z_i,X_f,Y_f,Z_f,Cu [%],Au [ppm],Ton [t],B [$]
0,45.0,100.0,20.0,60.0,110.0,45.0,0.3470715819140305,0.08299622753934599,20877.619999999995,53831.94999999994
1,45.0,100.0,25.0,60.0,110.0,50.0,0.4155830431093348,0.10259642150714586,21001.019999999997,167194.44999999995
2,45.0,100.0,30.0,60.0,110.0,55.0,0.44199145035761217,0.11140907185146813,21060.53,212664.57999999996
3,45.0,100.0,35.0,60.0,110.0,60.0,0.4152480742395901,0.10729374420656487,21047.53,169989.56
4,45.0,100.0,40.0,60.0,110.0,65.0,0.32653666521346963,0.088606864661191,20942.329999999998,19566.99999999997
5,45.0,105.0,20.0,60.0,115.0,45.0,0.36845324019770115,0.08759314360504165,20904.28,96056.54999999996
6,45.0,105.0,25.0,60.0,115.0,50.0,0.46166522182099934,0.11442715271718026,21063.379999999997,255364.81999999998
7,45.0,105.0,30.0,60.0,115.0,55.0,0.5221501101355388,0.13389051606703986,21178.45,361496.78
8,45.0,105.0,35.0,60.0,115.0,60.0,0.5386039136044998,0.1433723874663349,21242.309999999998,393869.23
9,45.0,105.0,40.0,60.0,115.0,65.0,0.4863465023696146,0.13697960181789262,21182.769999999997,306818.06
10,45.0,105.0,45.0,60.0,115.0,70.0,0.4291802192519969,0.12697055601145843,18473.72,181339.90000000002
11,45.0,110.0,30.0,60.0,120.0,55.0,0.36370386613427663,0.09423819583585341,20932.019999999997,83683.55
12,45.0,110.0,35.0,60.0,120.0,60.0,0.4357715479360789,0.11936329452942751,21073.48,211084.92
13,45.0,110.0,40.0,60.0,120.0,65.0,0.46169278983515044,0.1349086272702409,21133.22,262224.73
14,45.0,110.0,45.0,60.0,120.0,70.0,0.4573930813366655,0.13915531098360745,18526.699999999997,225128.95
15,45.0,115.0,45.0,60.0,125.0,70.0,0.33152516538369997,0.10447390757640473,18402.66,32791.08000000001
16,50.0,95.0,10.0,65.0,105.0,35.0,0.42418501000633135,0.09013112473470972,20816.82,185152.01
17,50.0,95.0,15.0,65.0,105.0,40.0,0.5487584770277908,0.11867668294319547,20983.18,399529.82999999996
18,50.0,95.0,20.0,65.0,105.0,45.0,0.6320519515091458,0.13965264136652772,21111.61,554708.47
19,50.0,95.0,25.0,65.0,105.0,50.0,0.6477154358688307,0.14500098949996484,21172.309999999998,579918.75
20,50.0,95.0,30.0,65.0,105.0,55.0,0.5681159479311148,0.12952969611330178,21117.409999999996,439719.82
21,50.0,95.0,35.0,65.0,105.0,60.0,0.43489007467192536,0.1016490395681619,20983.789999999997,209868.38999999996
22,50.0,100.0,5.0,65.0,110.0,30.0,0.3371656127412029,0.07200611825831067,20701.97,44120.18999999997
23,50.0,100.0,10.0,65.0,110.0,35.0,0.5623614252476032,0.12108247776867977,20956.92,431667.29
24,50.0,100.0,15.0,65.0,110.0,40.0,0.7698526442888419,0.16993174479315057,21235.01,798978.51
25,50.0,100.0,20.0,65.0,110.0,45.0,0.9301124745804378,0.21189980036797842,21479.519999999997,1099262.75
26,50.0,100.0,25.0,65.0,110.0,50.0,1.0169711120398441,0.23800922216552337,21654.35,1262855.92
27,50.0,100.0,30.0,65.0,110.0,55.0,0.9861514094083481,0.23695720377071477,21693.5,1208782.8199999998
28,50.0,100.0,35.0,65.0,110.0,60.0,0.8378897057528666,0.2078637632157253,21578.46,936776.0499999999
29,50.0,100.0,40.0,65.0,110.0,65.0,0.6255316411314553,0.1622712260370096,21333.94,552050.6199999999
30,50.0,100.0,45.0,65.0,110.0,70.0,0.4753242157162536,0.1293982589212023,18477.049999999996,249210.11
31,50.0,105.0,10.0,65.0,115.0,35.0,0.48369711562861795,0.10801338334531925,20885.659999999996,300190.38999999996
32,50.0,105.0,15.0,65.0,115.0,40.0,0.7227175064042184,0.16626023837701,21200.87,726307.2
33,50.0,105.0,20.0,65.0,115.0,45.0,0.9423063479896872,0.2240514296332428,21526.5,1137150.56
34,50.0,105.0,25.0,65.0,115.0,50.0,1.0942884083220423,0.26858808112444754,21794.17,1426788.43
35,50.0,105.0,30.0,65.0,115.0,55.0,1.1588371575265284,0.29245968081565793,21964.11,1558462.81
