X,Y,Z,sg[t/m3],tons [t],au[ppm],cu[%],profit [$]
0,0,0,2.27,283.33,0.00,0.00,-7083.33
0,0,5,2.27,283.33,0.00,0.00,-7083.33
0,0,10,2.27,283.33,0.00,0.00,-7083.33
0,0,15,2.27,283.33,0.00,0.00,-7083.33
0,0,20,2.27,283.33,0.00,0.00,-7083.33
0,0,25,2.27,283.33,0.00,0.00,-7083.33
0,0,30,2.27,283.33,0.00,0.00,-7083.33
0,0,35,2.27,283.33,0.00,0.00,-7083.33
0,0,40,2.27,283.33,0.00,0.00,-7083.33
0,0,45,2.27,283.33,0.00,0.00,-7083.33
0,0,50,2.27,283.33,0.00,0.00,-7083.33
0,0,55,2.27,283.33,0.00,0.00,-7083.33
0,0,60,2.27,283.33,0.00,0.00,-7083.33
0,0,65,1.94,243.07,0.00,0.00,-6076.80
0,5,0,2.27,283.33,0.00,0.00,-7083.33
0,5,5,2.27,283.33,0.00,0.00,-7083.33
0,5,10,2.27,283.33,0.00,0.00,-7083.33
0,5,15,2.27,283.33,0.00,0.00,-7083.33
0,5,20,2.27,283.33,0.00,0.00,-7083.33
0,5,25,2.27,283.33,0.00,0.00,-7083.33
0,5,30,2.27,283.33,0.00,0.00,-7083.33
0,5,35,2.27,283.33,0.00,0.00,-7083.33
0,5,40,2.27,283.33,0.00,0.00,-7083.33
0,5,45,2.27,283.33,0.00,0.00,-7083.33
0,5,50,2.27,283.33,0.00,0.00,-7083.33
0,5,55,2.27,283.33,0.00,0.00,-7083.33
0,5,60,2.27,283.33,0.00,0.00,-7083.33
0,5,65,2.03,253.33,0.00,0.00,-6333.36
0,10,0,2.27,283.33,0.00,0.00,-7083.33
0,10,5,2.27,283.33,0.00,0.00,-7083.33
0,10,10,2.27,283.33,0.00,0.00,-7083.33
0,10,15,2.27,283.33,0.00,0.00,-7083.33
0,10,20,2.27,283.33,0.00,0.00,-7083.33
0,10,25,2.27,283.33,0.00,0.00,-7083.33
0,10,30,2.27,283.33,0.00,0.00,-7083.33
0,10,35,2.27,283.33,0.00,0.00,-7083.33
0,10,40,2.27,283.33,0.00,0.00,-7083.33
0,10,45,2.27,283.33,0.00,0.00,-7083.33
0,10,50,2.27,283.33,0.00,0.00,-7083.33
0,10,55,2.27,283.33,0.00,0.00,-7083.33
